"","VIP","Coefficient"
"var_CV",0.0419612465279572,-272.350466673285
"intervention_communication_cost",0.694603433845023,-4508.34007599173
"intervention_wells_cost",2.11291597581944,-13713.9312978336
"intervention_nursery_cost",0.757482925473464,-4916.46090905075
"intervention_tech_devices_cost",0.340139816677808,-2207.68555444715
"intervention_strip_delay_of_time_until_chance_cleared_50percent",0.070356691948826,456.651779233599
"intervention_strip_delay_of_irrig_area_halved",0.126177325323317,818.956925230916
"discount_rate",0.0158245135887152,102.709381092692
"intervention_fruit_area_ha",0.403990554301076,2622.1102826912
"maintenance_intervention_strips",0.97440839629019,-6324.42082680235
"intervention_adaptation_cost",4.02793122791878,-26143.3832505591
"profit_per_TLU",0.0698395575149254,453.295305914537
"intervention_fruit_profit_USD_t",0.374222868118082,2428.90240888982
"intervention_rainfed_crop_profit_USD_t",0.427164466799993,2772.52111187191
"intervention_vegetable_profit_USD_t",0.781566884005132,5072.77841360986
"intervention_rainfed_crop_area_ha",0.0202105999735262,131.17737889101
"intervention_NonDonorsInvolv",0.0414208411751654,-268.842952902751
"intervention_NonInstInvolv",0.0701699645453735,-455.439820588922
"BadDesign",0.0337941710377826,219.341869332807
"BadMaintenance",0.058907757822698,-382.342200511118
"nat_hazard",0.0706559855396782,-458.59435138971
"NonCompliance",0.0176599718850345,114.622466735389
"intervention_NonPopInvolv",1.16354767159062,7552.03378296178
"TLU_no_intervention",0.0810881580017855,-526.304614395793
"change_TLU_intervention_perc",0.167438674758429,1086.76469320881
"intervention_training_cost",1.41530934312484,-9186.0988884182
"intervention_vegetable_area_ha",0.260318583484512,1689.60394559534
"intervention_fruit_yield_t_ha",0.75169085496217,4878.86733790399
"intervention_rainfed_crop_yield_t_ha",0.283025576852423,1836.98422507244
"intervention_vegetable_yield_t_ha",1.04751618312854,6798.92865272241
"intervention_zoning_cost",1.35900350174346,-8820.64448833424
